op,room_base,node,uplink_bytes,downlink_bytes,total_bytes
dkg,dkg_room_1768580874025-29397-19-1534412313,4,48002,47906,95908
dkg,dkg_room_1768580874483-29397-20-423825383,1,47981,47991,95972
dkg,dkg_room_1768580874483-29397-20-423825383,2,47957,47995,95952
dkg,dkg_room_1768580874483-29397-20-423825383,3,48029,47969,95998
dkg,dkg_room_1768580874483-29397-20-423825383,4,47990,48002,95992
sign,signing_room_1768580885823-30117-1-1440725301,1,75173,75043,150216
sign,signing_room_1768580885823-30117-1-1440725301,2,75069,75032,150101
sign,signing_room_1768580885823-30117-1-1440725301,3,74965,75132,150097
sign,signing_room_1768580886443-30117-2-1012319567,1,75270,75026,150296
sign,signing_room_1768580886443-30117-2-1012319567,2,75039,75183,150222
sign,signing_room_1768580886443-30117-2-1012319567,3,75030,75130,150160
sign,signing_room_1768580887054-30117-3-307385940,1,75135,75075,150210
sign,signing_room_1768580887054-30117-3-307385940,2,75056,75151,150207
sign,signing_room_1768580887054-30117-3-307385940,3,75146,75111,150257
sign,signing_room_1768580887658-30117-4-468219291,1,75124,75327,150451
sign,signing_room_1768580887658-30117-4-468219291,2,75440,75184,150624
sign,signing_room_1768580887658-30117-4-468219291,3,75203,75256,150459
sign,signing_room_1768580888278-30117-5-379927404,1,75190,75087,150277
sign,signing_room_1768580888278-30117-5-379927404,2,75113,75068,150181
sign,signing_room_1768580888278-30117-5-379927404,3,74997,75145,150142
sign,signing_room_1768580888892-30117-6-9912295,1,75141,75090,150231
sign,signing_room_1768580888892-30117-6-9912295,2,75148,75121,150269
sign,signing_room_1768580888892-30117-6-9912295,3,75096,75174,150270
sign,signing_room_1768580889508-30117-7-238832423,1,75146,75122,150268
sign,signing_room_1768580889508-30117-7-238832423,2,75076,75160,150236
sign,signing_room_1768580889508-30117-7-238832423,3,75161,75101,150262
sign,signing_room_1768580890122-30117-8-1146119468,1,75090,75158,150248
sign,signing_room_1768580890122-30117-8-1146119468,2,75262,75128,150390
sign,signing_room_1768580890122-30117-8-1146119468,3,75118,75184,150302
sign,signing_room_1768580890736-30117-9-2421316034,1,75129,75065,150194
sign,signing_room_1768580890736-30117-9-2421316034,2,75130,75146,150276
sign,signing_room_1768580890736-30117-9-2421316034,3,75064,75112,150176
sign,signing_room_1768580891344-30117-10-189188487,1,75122,75039,150161
sign,signing_room_1768580891344-30117-10-189188487,2,75164,75054,150218
sign,signing_room_1768580891344-30117-10-189188487,3,74933,75126,150059
sign,signing_room_1768580891954-30117-11-2466823442,1,75283,75191,150474
sign,signing_room_1768580891954-30117-11-2466823442,2,75289,75208,150497
sign,signing_room_1768580891954-30117-11-2466823442,3,75112,75285,150397
sign,signing_room_1768580892577-30117-12-2819325320,1,75002,75096,150098
sign,signing_room_1768580892577-30117-12-2819325320,2,75028,75073,150101
sign,signing_room_1768580892577-30117-12-2819325320,3,75150,75011,150161
sign,signing_room_1768580893194-30117-13-467223624,1,75134,75228,150362
sign,signing_room_1768580893194-30117-13-467223624,2,75155,75256,150411
sign,signing_room_1768580893194-30117-13-467223624,3,75317,75122,150439
sign,signing_room_1768580893805-30117-14-70411099,1,75049,75098,150147
sign,signing_room_1768580893805-30117-14-70411099,2,75024,75056,150080
sign,signing_room_1768580893805-30117-14-70411099,3,75137,75056,150193
sign,signing_room_1768580894410-30117-15-487322607,1,75169,75103,150272
sign,signing_room_1768580894410-30117-15-487322607,2,75090,75142,150232
sign,signing_room_1768580894410-30117-15-487322607,3,75087,75101,150188
sign,signing_room_1768580895015-30117-16-166073583,1,75259,75136,150395
sign,signing_room_1768580895015-30117-16-166073583,2,75033,75245,150278
sign,signing_room_1768580895015-30117-16-166073583,3,75205,75116,150321
sign,signing_room_1768580895635-30117-17-291692974,1,74860,75134,149994
sign,signing_room_1768580895635-30117-17-291692974,2,75050,75027,150077
sign,signing_room_1768580895635-30117-17-291692974,3,75184,74933,150117
sign,signing_room_1768580896270-30117-18-217812400,1,75088,75155,150243
sign,signing_room_1768580896270-30117-18-217812400,2,75086,75172,150258
sign,signing_room_1768580896270-30117-18-217812400,3,75243,75090,150333
sign,signing_room_1768580896876-30117-19-2307930381,1,74938,75317,150255
sign,signing_room_1768580896876-30117-19-2307930381,2,75407,75030,150437
sign,signing_room_1768580896876-30117-19-2307930381,3,75225,75223,150448
sign,signing_room_1768580897489-30117-20-3264816568,1,75197,75189,150386
sign,signing_room_1768580897489-30117-20-3264816568,2,75125,75177,150302
sign,signing_room_1768580897489-30117-20-3264816568,3,75255,75211,150466
