iter,ts_ms,endpoint,http_code,latency_ms,request_index
77,1768369046622,dkg,200,788,1768369046622-94504-77-3053723090
78,1768369047627,dkg,200,944,1768369047626-94504-78-150018022
79,1768369048789,dkg,200,967,1768369048788-94504-79-2406112570
80,1768369049975,dkg,200,894,1768369049974-94504-80-216374084
81,1768369051086,dkg,200,857,1768369051085-94504-81-2075327739
82,1768369052168,dkg,200,766,1768369052167-94504-82-3126916932
83,1768369053150,dkg,200,840,1768369053149-94504-83-2141821176
84,1768369054206,dkg,200,817,1768369054205-94504-84-1083428508
85,1768369055240,dkg,200,794,1768369055238-94504-85-11454156
86,1768369056257,dkg,200,738,1768369056256-94504-86-2007122538
87,1768369057213,dkg,200,772,1768369057212-94504-87-1059625822
88,1768369058200,dkg,200,699,1768369058199-94504-88-141812004
89,1768369059114,dkg,200,899,1768369059114-94504-89-1724910273
90,1768369060229,dkg,200,728,1768369060228-94504-90-1643017828
91,1768369061175,dkg,200,738,1768369061173-94504-91-191925030
92,1768369062128,dkg,200,653,1768369062127-94504-92-474727945
93,1768369062996,dkg,200,705,1768369062995-94504-93-14486901
94,1768369063917,dkg,200,685,1768369063916-94504-94-904628937
95,1768369064818,dkg,200,684,1768369064816-94504-95-146776076
96,1768369065719,dkg,200,823,1768369065717-94504-96-1834924109
97,1768369066759,dkg,200,636,1768369066758-94504-97-1574127915
98,1768369067610,dkg,200,727,1768369067609-94504-98-1257828445
99,1768369070286,dkg,200,644,1768369070285-94504-99-1808821140
100,1768369071145,dkg,200,748,1768369071144-94504-100-128956746
