iter,ts_ms,endpoint,http_code,latency_ms,request_index
1,1768368976444,dkg,200,507,1768368976443-94504-1-1314515434
2,1768368977164,dkg,200,561,1768368977163-94504-2-538512596
3,1768368977939,dkg,200,608,1768368977938-94504-3-180854636
4,1768368978760,dkg,200,518,1768368978759-94504-4-1428418051
5,1768368979491,dkg,200,515,1768368979490-94504-5-2200817068
6,1768368980219,dkg,200,491,1768368980218-94504-6-188742107
7,1768368980923,dkg,200,565,1768368980923-94504-7-1890810988
8,1768368981703,dkg,200,631,1768368981702-94504-8-1404424116
9,1768368982550,dkg,200,661,1768368982549-94504-9-472525051
10,1768368983426,dkg,200,604,1768368983425-94504-10-110109347
11,1768368984245,dkg,200,589,1768368984244-94504-11-1470715840
12,1768368985047,dkg,200,496,1768368985046-94504-12-4506984
13,1768368985757,dkg,200,482,1768368985756-94504-13-1987624386
14,1768368986453,dkg,200,674,1768368986452-94504-14-121525560
15,1768368987341,dkg,200,516,1768368987341-94504-15-2486616401
16,1768368988071,dkg,200,579,1768368988070-94504-16-1320515110
17,1768368988864,dkg,200,484,1768368988862-94504-17-263464997
18,1768368989563,dkg,200,563,1768368989562-94504-18-196997089
19,1768368990339,dkg,200,520,1768368990338-94504-19-222834977
20,1768368991072,dkg,200,546,1768368991071-94504-20-193383943
21,1768368991830,dkg,200,589,1768368991830-94504-21-1715512787
22,1768368992634,dkg,200,538,1768368992632-94504-22-1992212657
23,1768368993386,dkg,200,485,1768368993385-94504-23-2328019518
24,1768368994085,dkg,200,616,1768368994084-94504-24-136432003
25,1768368994914,dkg,200,533,1768368994913-94504-25-29074645
26,1768368995662,dkg,200,664,1768368995661-94504-26-970819421
27,1768368996540,dkg,200,539,1768368996539-94504-27-278479418
28,1768368997293,dkg,200,583,1768368997292-94504-28-1192118495
29,1768368998089,dkg,200,520,1768368998088-94504-29-76979367
30,1768368998822,dkg,200,500,1768368998821-94504-30-836930738
31,1768368999537,dkg,200,557,1768368999535-94504-31-282425603
32,1768369000306,dkg,200,544,1768369000305-94504-32-11829734
33,1768369001064,dkg,200,537,1768369001063-94504-33-2968617942
34,1768369001814,dkg,200,557,1768369001812-94504-34-2919921964
35,1768369002586,dkg,200,673,1768369002585-94504-35-2316012005
36,1768369003474,dkg,200,584,1768369003473-94504-36-968617161
37,1768369004273,dkg,200,715,1768369004272-94504-37-2511013157
38,1768369006994,dkg,200,658,1768369006993-94504-38-321606434
39,1768369007868,dkg,200,671,1768369007867-94504-39-3247323907
40,1768369008756,dkg,200,788,1768369008755-94504-40-3048020686
41,1768369009766,dkg,200,811,1768369009765-94504-41-2527531833
42,1768369010795,dkg,200,699,1768369010794-94504-42-2162013253
43,1768369011712,dkg,200,769,1768369011710-94504-43-24561285
44,1768369012699,dkg,200,725,1768369012698-94504-44-3029818559
45,1768369013640,dkg,200,628,1768369013639-94504-45-486112295
46,1768369014487,dkg,200,613,1768369014486-94504-46-2716319139
47,1768369015317,dkg,200,822,1768369015316-94504-47-1446918084
48,1768369016355,dkg,200,807,1768369016354-94504-48-88886045
49,1768369017382,dkg,200,727,1768369017378-94504-49-3180821243
50,1768369018331,dkg,200,721,1768369018330-94504-50-944329025
51,1768369019269,dkg,200,852,1768369019269-94504-51-188964381
52,1768369020337,dkg,200,861,1768369020336-94504-52-168162675
53,1768369021415,dkg,200,796,1768369021414-94504-53-282764363
54,1768369022426,dkg,200,660,1768369022426-94504-54-2099612184
55,1768369023302,dkg,200,696,1768369023301-94504-55-2199926951
56,1768369024215,dkg,200,606,1768369024213-94504-56-325841628
57,1768369025045,dkg,200,896,1768369025041-94504-57-11512583
58,1768369026164,dkg,200,879,1768369026162-94504-58-1373014170
59,1768369027265,dkg,200,808,1768369027264-94504-59-1063131501
60,1768369028291,dkg,200,777,1768369028290-94504-60-232796587
61,1768369029283,dkg,200,771,1768369029282-94504-61-203827994
62,1768369030276,dkg,200,780,1768369030275-94504-62-2818317962
63,1768369031277,dkg,200,883,1768369031275-94504-63-273405513
64,1768369032375,dkg,200,752,1768369032375-94504-64-19165684
65,1768369033350,dkg,200,667,1768369033349-94504-65-269858128
66,1768369034232,dkg,200,719,1768369034231-94504-66-595114477
67,1768369035167,dkg,200,670,1768369035166-94504-67-3110111435
68,1768369036051,dkg,200,736,1768369036050-94504-68-422427527
69,1768369038796,dkg,200,823,1768369038794-94504-69-204753620
70,1768369039836,dkg,200,732,1768369039835-94504-70-2961021753
71,1768369040784,dkg,200,687,1768369040783-94504-71-187999609
72,1768369041687,dkg,200,694,1768369041686-94504-72-314361484
73,1768369042596,dkg,200,631,1768369042595-94504-73-1687227366
74,1768369043446,dkg,200,758,1768369043444-94504-74-3231329604
75,1768369044425,dkg,200,840,1768369044423-94504-75-944318560
76,1768369045484,dkg,200,923,1768369045483-94504-76-253001091
