op,room_base,node,uplink_bytes,downlink_bytes,total_bytes
sign,signing_room_1768484541985-11470-9-553418153,1,27585,27618,55203
sign,signing_room_1768484541985-11470-9-553418153,2,27618,27585,55203
sign,signing_room_1768484542386-11470-10-56654420,1,27607,27619,55226
sign,signing_room_1768484542386-11470-10-56654420,2,27619,27607,55226
sign,signing_room_1768484542798-11470-11-1522229094,1,27585,27546,55131
sign,signing_room_1768484542798-11470-11-1522229094,2,27546,27585,55131
sign,signing_room_1768484543198-11470-12-733510648,1,27615,27682,55297
sign,signing_room_1768484543198-11470-12-733510648,2,27682,27615,55297
sign,signing_room_1768484543600-11470-13-307278573,1,27661,27706,55367
sign,signing_room_1768484543600-11470-13-307278573,2,27706,27661,55367
sign,signing_room_1768484544004-11470-14-274845783,1,27682,27777,55459
sign,signing_room_1768484544004-11470-14-274845783,2,27777,27682,55459
sign,signing_room_1768484544406-11470-15-306935833,1,27605,27638,55243
sign,signing_room_1768484544406-11470-15-306935833,2,27638,27605,55243
sign,signing_room_1768484544802-11470-16-1333128384,1,27621,27669,55290
sign,signing_room_1768484544802-11470-16-1333128384,2,27669,27621,55290
sign,signing_room_1768484545203-11470-17-2631310891,1,27667,27615,55282
sign,signing_room_1768484545203-11470-17-2631310891,2,27615,27667,55282
sign,signing_room_1768484545599-11470-18-1329423455,1,27616,27718,55334
sign,signing_room_1768484545599-11470-18-1329423455,2,27718,27616,55334
sign,signing_room_1768484545996-11470-19-2081913484,1,27592,27608,55200
sign,signing_room_1768484545996-11470-19-2081913484,2,27608,27592,55200
sign,signing_room_1768484546391-11470-20-3056016612,1,27673,27601,55274
sign,signing_room_1768484546391-11470-20-3056016612,2,27601,27673,55274
